"fecha_hora","organizacion_o_reparticion","puesto_o_area_recomendada","idioma_recomendado","correo","recomendacion","plantilla_thunderbird","estado","detalle","archivo_eml"
"2026-07-31T00:55:26-03:00","UNED — Servicio de Gestión de Personal Docente e Investigador","Criptografía, seguridad informática, matemática discreta, autómatas, física, informática, telecomunicaciones e ingeniería","español-académico","personaldocente@adm.uned.es","Probable — Área central de Personal Docente e Investigador; enviar CV académico con presentación breve.","Enviar CV: docencia","ENVIADO","SMTP aceptó el mensaje","/home/jfcrypt/Documents/Proyectos/CVSender/CVSender_state/archivo_eml/enviados/2026-07-31/005522_688792_personaldocente@adm.uned.es_espanol-academico_ac21c1567919.eml"
"2026-07-31T00:55:31-03:00","UNED — Concursos de plazas de profesorado","Docencia e investigación en informática, ciberseguridad, matemática, física e ingeniería","español-académico","personaldocente.plazas@adm.uned.es","Directo — Enviar CV y antecedentes cuando exista una plaza o bolsa compatible.","Enviar CV: docencia","ENVIADO","SMTP aceptó el mensaje","/home/jfcrypt/Documents/Proyectos/CVSender/CVSender_state/archivo_eml/enviados/2026-07-31/005529_109012_personaldocente.plazas@adm.uned.es_espanol-academico_725bdeea6929.eml"
"2026-07-31T00:55:39-03:00","UNED — Secretaría del Vicerrectorado de Personal Docente e Investigador","Profesor, investigador-docente o profesor tutor en áreas tecnológicas","español-académico","vrector-profesorado@adm.uned.es","Derivación — Solicitar que el CV sea remitido al servicio o departamento académico competente.","Enviar CV: docencia","ENVIADO","SMTP aceptó el mensaje","/home/jfcrypt/Documents/Proyectos/CVSender/CVSender_state/archivo_eml/enviados/2026-07-31/005534_954915_vrector-profesorado@adm.uned.es_espanol-academico_c38f1c8f0454.eml"
"2026-07-31T00:55:45-03:00","UNED — Sección de Profesores Tutores","Profesor tutor en informática, matemática, física, seguridad, redes o áreas afines","español-académico","seccion-prof-tutores@adm.uned.es","Probable — Área directamente vinculada con profesorado tutor; enviar CV y solicitar consideración para futuras plazas.","Enviar CV: docencia","ENVIADO","SMTP aceptó el mensaje","/home/jfcrypt/Documents/Proyectos/CVSender/CVSender_state/archivo_eml/enviados/2026-07-31/005542_062175_seccion-prof-tutores@adm.uned.es_espanol-academico_8ab7ccdd7e5d.eml"
"2026-07-31T00:55:51-03:00","UNED — Gestión de contratos de personal investigador","Investigación en criptografía, ciberseguridad, computación, redes o ingeniería","español-académico","personaldocente.investigacion@adm.uned.es","Probable — Área de contratos de investigación; enviar CV académico y líneas de investigación.","Enviar CV: docencia","ENVIADO","SMTP aceptó el mensaje","/home/jfcrypt/Documents/Proyectos/CVSender/CVSender_state/archivo_eml/enviados/2026-07-31/005548_207446_personaldocente.investigacion@adm.uned.es_espanol-academico_80637537b3cb.eml"
"2026-07-31T00:55:58-03:00","UOC — Dirección de los Estudios de Informática, Multimedia y Telecomunicación","Ingeniería Informática, ciberseguridad, redes, IA, datos, sistemas, matemática discreta y fundamentos de computación","español-académico","drierat@uoc.edu","Derivación — Director de los estudios tecnológicos; solicitar incorporación o remisión del CV al área de profesorado colaborador.","Enviar CV: docencia","ENVIADO","SMTP aceptó el mensaje","/home/jfcrypt/Documents/Proyectos/CVSender/CVSender_state/archivo_eml/enviados/2026-07-31/005554_693012_drierat@uoc.edu_espanol-academico_fd53190cb711.eml"
"2026-07-31T00:56:04-03:00","UDIMA — Dirección de la Escuela de Ciencias Técnicas e Ingeniería","Ingeniería Informática, electrónica, sistemas, redes, IA, matemática, física y tecnología","español-académico","isaac.seoane@udima.es","Derivación — Director de la Escuela; enviar CV y solicitar remisión al área responsable de contratación docente.","Enviar CV: docencia","ENVIADO","SMTP aceptó el mensaje","/home/jfcrypt/Documents/Proyectos/CVSender/CVSender_state/archivo_eml/enviados/2026-07-31/005601_310078_isaac.seoane@udima.es_espanol-academico_dfe8a2fe313e.eml"
"2026-07-31T00:56:11-03:00","UDIMA — Dirección del Departamento de Ingeniería Informática","Seguridad informática, redes, sistemas, programación, teoría de la computación, matemática y física","español-académico","juanjose.moreno@udima.es","Probable — Dirección académica directamente relacionada; enviar CV con materias y disponibilidad docente.","Enviar CV: docencia","ENVIADO","SMTP aceptó el mensaje","/home/jfcrypt/Documents/Proyectos/CVSender/CVSender_state/archivo_eml/enviados/2026-07-31/005607_975495_juanjose.moreno@udima.es_espanol-academico_a74252ba3b19.eml"
"2026-07-31T00:56:19-03:00","UNIR — Oficina Técnica de Evaluación Docente","Docencia universitaria virtual en informática, ciberseguridad, datos, IA, matemática y áreas tecnológicas","español-académico","evaluacionpdi@unir.net","Probable — Área institucional vinculada con el PDI; enviar CV y solicitar derivación a selección de profesorado.","Enviar CV: docencia","ERROR","SMTPDataError: (554, b'6.6.0 Error sending message for delivery.')","/home/jfcrypt/Documents/Proyectos/CVSender/CVSender_state/archivo_eml/errores/2026-07-31/005614_825741_evaluacionpdi@unir.net_espanol-academico_f7639460746a.eml"
"2026-07-31T00:56:24-03:00","UNIR — Unidad de Acreditaciones del Profesorado","Profesor o investigador-docente en informática, seguridad, computación, matemática y tecnología","español-académico","acreditaciones@unir.net","Derivación — Unidad académica vinculada al profesorado; solicitar reenvío del CV al área de selección docente.","Enviar CV: docencia","ERROR","SMTPDataError: (554, b'6.6.0 Error sending message for delivery.')","/home/jfcrypt/Documents/Proyectos/CVSender/CVSender_state/archivo_eml/errores/2026-07-31/005622_028391_acreditaciones@unir.net_espanol-academico_74c0a86166dc.eml"
"2026-07-31T00:56:30-03:00","UNIR — Desarrollo académico del profesorado","Docencia virtual, investigación y coordinación académica en áreas tecnológicas","español-académico","ayudas.academicas@unir.net","Derivación — Contacto institucional de desarrollo del PDI; solicitar remisión a contratación o dirección académica competente.","Enviar CV: docencia","ERROR","SMTPDataError: (554, b'6.6.0 Error sending message for delivery.')","/home/jfcrypt/Documents/Proyectos/CVSender/CVSender_state/archivo_eml/errores/2026-07-31/005627_815174_ayudas.academicas@unir.net_espanol-academico_bf91a6811a99.eml"
"2026-07-31T01:00:09-03:00","UNIR — Oficina Técnica de Evaluación Docente","Docencia universitaria virtual en informática, ciberseguridad, datos, IA, matemática y áreas tecnológicas","español-académico","evaluacionpdi@unir.net","Probable — Área institucional vinculada con el PDI; enviar CV y solicitar derivación a selección de profesorado.","Enviar CV: docencia","ENVIADO","SMTP aceptó el mensaje","/home/jfcrypt/Documents/Proyectos/CVSender/CVSender_state/archivo_eml/enviados/2026-07-31/010005_724038_evaluacionpdi@unir.net_espanol-academico_2a4094806969.eml"
"2026-07-31T01:00:15-03:00","UNIR — Unidad de Acreditaciones del Profesorado","Profesor o investigador-docente en informática, seguridad, computación, matemática y tecnología","español-académico","acreditaciones@unir.net","Derivación — Unidad académica vinculada al profesorado; solicitar reenvío del CV al área de selección docente.","Enviar CV: docencia","ENVIADO","SMTP aceptó el mensaje","/home/jfcrypt/Documents/Proyectos/CVSender/CVSender_state/archivo_eml/enviados/2026-07-31/010012_438206_acreditaciones@unir.net_espanol-academico_303b18d2bd0b.eml"
"2026-07-31T01:00:21-03:00","UNIR — Desarrollo académico del profesorado","Docencia virtual, investigación y coordinación académica en áreas tecnológicas","español-académico","ayudas.academicas@unir.net","Derivación — Contacto institucional de desarrollo del PDI; solicitar remisión a contratación o dirección académica competente.","Enviar CV: docencia","ENVIADO","SMTP aceptó el mensaje","/home/jfcrypt/Documents/Proyectos/CVSender/CVSender_state/archivo_eml/enviados/2026-07-31/010018_574116_ayudas.academicas@unir.net_espanol-academico_80c8d6e38a74.eml"
"2026-07-31T01:13:45-03:00","IACON","Automatización industrial, robótica, integración de sistemas, PLC, control y digitalización de procesos","español-industrial","rrhh@iacon.com.ar","Directo — Enviar CV directamente.","Enviar CV","ENVIADO","SMTP aceptó el mensaje","/home/jfcrypt/Documents/Proyectos/CVSender/CVSender_state/archivo_eml/enviados/2026-07-31/011342_730989_rrhh@iacon.com.ar_espanol-industrial_f122ec1ea34e.eml"
"2026-07-31T01:13:58-03:00","CRUXAR SRL","Automatización industrial, sistemas de control, Siemens PCS 7, integración y puesta en marcha","español-industrial","rrhh@cruxar.com.ar","Directo — Enviar CV directamente.","Enviar CV","ENVIADO","SMTP aceptó el mensaje","/home/jfcrypt/Documents/Proyectos/CVSender/CVSender_state/archivo_eml/enviados/2026-07-31/011355_796120_rrhh@cruxar.com.ar_espanol-industrial_be38b010d764.eml"
"2026-07-31T01:14:11-03:00","Electrotech SRL","PLC, SCADA, HMI, redes industriales, instrumentación e integración con MES, ERP o SAP","español-industrial","rrhh@electrotechsrl.com.ar","Directo — Enviar CV directamente.","Enviar CV","ENVIADO","SMTP aceptó el mensaje","/home/jfcrypt/Documents/Proyectos/CVSender/CVSender_state/archivo_eml/enviados/2026-07-31/011408_611286_rrhh@electrotechsrl.com.ar_espanol-industrial_f53a4e7a2d63.eml"
"2026-07-31T01:14:24-03:00","TREND Ingeniería","Automatización, control industrial, instrumentación, ingeniería eléctrica y proyectos multidisciplinarios","español-industrial","rrhh@trendingenieria.com.ar","Directo — Enviar CV directamente.","Enviar CV","ENVIADO","SMTP aceptó el mensaje","/home/jfcrypt/Documents/Proyectos/CVSender/CVSender_state/archivo_eml/enviados/2026-07-31/011421_493986_rrhh@trendingenieria.com.ar_espanol-industrial_34b8f98b7e63.eml"
"2026-07-31T01:14:36-03:00","ACI Ingeniería SA","Automatización, instrumentación, electricidad, telecomunicaciones, control e ingeniería industrial","español-industrial","rrhh@aci-ingenieria.com.ar","Directo — Enviar CV directamente.","Enviar CV","ENVIADO","SMTP aceptó el mensaje","/home/jfcrypt/Documents/Proyectos/CVSender/CVSender_state/archivo_eml/enviados/2026-07-31/011434_128815_rrhh@aci-ingenieria.com.ar_espanol-industrial_d6c0aff7b4eb.eml"
"2026-07-31T01:14:51-03:00","Telebit SA","Automatización, telecomunicaciones, sistemas críticos, redes industriales, energía e instrumentación","español-industrial","rrhh@telebitsa.com.ar","Directo — Enviar CV directamente.","Enviar CV","ENVIADO","SMTP aceptó el mensaje","/home/jfcrypt/Documents/Proyectos/CVSender/CVSender_state/archivo_eml/enviados/2026-07-31/011446_730791_rrhh@telebitsa.com.ar_espanol-industrial_88aab5c75eef.eml"
"2026-07-31T01:15:04-03:00","POS-ING Ingeniería Electromecánica","Automatización de tableros, instalaciones eléctricas, energía y control industrial","español-industrial","rrhh@pos-ing.com.ar","Directo — Postulación espontánea; actualmente sin búsquedas publicadas.","Enviar CV","ENVIADO","SMTP aceptó el mensaje","/home/jfcrypt/Documents/Proyectos/CVSender/CVSender_state/archivo_eml/enviados/2026-07-31/011501_721704_rrhh@pos-ing.com.ar_espanol-industrial_b7608f5faa0a.eml"
"2026-07-31T01:15:17-03:00","GH Comunicaciones","Redes de datos, telecomunicaciones, radioenlaces, infraestructura, energía y sistemas críticos","español-industrial","rrhh@ghcomunicaciones.com.ar","Directo — Enviar CV directamente.","Enviar CV","ENVIADO","SMTP aceptó el mensaje","/home/jfcrypt/Documents/Proyectos/CVSender/CVSender_state/archivo_eml/enviados/2026-07-31/011514_539851_rrhh@ghcomunicaciones.com.ar_espanol-industrial_77f1caaaa66b.eml"
"2026-07-31T01:15:29-03:00","Securus Neuquén","Redes, conectividad, videovigilancia, monitoreo, infraestructura y seguridad electrónica","español-industrial","rrhh@securusnqn.com.ar","Directo — Enviar CV directamente.","Enviar CV","ENVIADO","SMTP aceptó el mensaje","/home/jfcrypt/Documents/Proyectos/CVSender/CVSender_state/archivo_eml/enviados/2026-07-31/011527_316515_rrhh@securusnqn.com.ar_espanol-industrial_6d7832194a43.eml"
"2026-07-31T01:15:42-03:00","RP Consultoría","Administración de redes, infraestructura, Linux, servidores, datacenter y seguridad informática","español-industrial","rrhh@rpconsultoria.com.ar","Directo — Enviar CV indicando interés en redes, infraestructura y Linux.","Enviar CV","ENVIADO","SMTP aceptó el mensaje","/home/jfcrypt/Documents/Proyectos/CVSender/CVSender_state/archivo_eml/enviados/2026-07-31/011539_766857_rrhh@rpconsultoria.com.ar_espanol-industrial_c5dea6fd9925.eml"
"2026-07-31T01:15:55-03:00","Umane","Administración de redes, Linux, infraestructura, NOC y seguridad informática","español-industrial","rrhh@umane.com.ar","Directo — Incorporarse a la base de candidatos IT.","Enviar CV","ENVIADO","SMTP aceptó el mensaje","/home/jfcrypt/Documents/Proyectos/CVSender/CVSender_state/archivo_eml/enviados/2026-07-31/011552_640649_rrhh@umane.com.ar_espanol-industrial_f60c3be23938.eml"
"2026-07-31T01:16:08-03:00","Nextware","Operaciones IT, Linux, servidores, virtualización, redes, datacenter y monitoreo","español-industrial","rrhh@nextware.com.ar","Directo — Enviar CV para futuras búsquedas de infraestructura.","Enviar CV","ENVIADO","SMTP aceptó el mensaje","/home/jfcrypt/Documents/Proyectos/CVSender/CVSender_state/archivo_eml/enviados/2026-07-31/011605_237369_rrhh@nextware.com.ar_espanol-industrial_8bfd09001a55.eml"
"2026-07-31T01:23:42-03:00","Rehue SA","Soporte e infraestructura IT, instalación y mantenimiento de hardware y software, redes y seguridad","español-industrial","rrhh@rehuesa.com","Directo — Postular a la búsqueda de Técnico Informático o enviar CV para posiciones afines.","Enviar CV","ENVIADO","SMTP aceptó el mensaje","/home/jfcrypt/Documents/Proyectos/CVSender/CVSender_state/archivo_eml/enviados/2026-07-31/012340_287565_rrhh@rehuesa.com_espanol-industrial_6a484b51d227.eml"
"2026-07-31T01:23:55-03:00","Systemum","Administración de servidores, redes, VPN, virtualización, migración de datos y seguridad informática","español-industrial","rrhh@systemum.com.ar","Directo — Enviar CV para infraestructura IT y administración de sistemas.","Enviar CV","ENVIADO","SMTP aceptó el mensaje","/home/jfcrypt/Documents/Proyectos/CVSender/CVSender_state/archivo_eml/enviados/2026-07-31/012352_876370_rrhh@systemum.com.ar_espanol-industrial_e45ad4aed3f3.eml"
"2026-07-31T01:24:07-03:00","ECOGAS Cuyana","Infraestructura tecnológica, Linux, redes, servidores, ciberseguridad, telecomunicaciones y desarrollo interno","español-industrial","postulacionescuyana@ecogas.com.ar","Directo — Incorporarse a la base de postulantes de Mendoza.","Enviar CV","ENVIADO","SMTP aceptó el mensaje","/home/jfcrypt/Documents/Proyectos/CVSender/CVSender_state/archivo_eml/enviados/2026-07-31/012405_417123_postulacionescuyana@ecogas.com.ar_espanol-industrial_7398039725b7.eml"
"2026-07-31T01:24:20-03:00","Municipalidad de la Ciudad de Mendoza — Recursos Humanos","Sistemas municipales, infraestructura, servidores, redes, seguridad y desarrollo de plataformas públicas","español-industrial","rrhh@ciudaddemendoza.gov.ar","Directo — Enviar CV; el sitio oficial habilita expresamente la recepción de candidaturas.","Enviar CV","ENVIADO","SMTP aceptó el mensaje","/home/jfcrypt/Documents/Proyectos/CVSender/CVSender_state/archivo_eml/enviados/2026-07-31/012417_876028_rrhh@ciudaddemendoza.gov.ar_espanol-industrial_923e30227c2a.eml"
"2026-07-31T01:24:32-03:00","IMSA Ascensores","Área técnica: electrónica, sistemas embebidos, control, mantenimiento e integración tecnológica","español-industrial","rrhh@imsascensores.com.ar","Directo — Enviar CV indicando “Área Técnica” en el asunto.","Enviar CV","ENVIADO","SMTP aceptó el mensaje","/home/jfcrypt/Documents/Proyectos/CVSender/CVSender_state/archivo_eml/enviados/2026-07-31/012430_170515_rrhh@imsascensores.com.ar_espanol-industrial_524527d9402a.eml"
"2026-07-31T01:24:45-03:00","Recruit Group","Infraestructura IT, Linux, redes, desarrollo, sistemas embebidos y ciberseguridad para empresas mendocinas","español-industrial","seleccion@recruitgroupar.com","Directo — Incorporarse a la base de selección indicando las áreas de interés.","Enviar CV","ENVIADO","SMTP aceptó el mensaje","/home/jfcrypt/Documents/Proyectos/CVSender/CVSender_state/archivo_eml/enviados/2026-07-31/012442_846538_seleccion@recruitgroupar.com_espanol-industrial_3073354118b4.eml"
"2026-07-31T01:24:58-03:00","Protección Total SA — sede Mendoza","Seguridad electrónica, videovigilancia, redes, control de accesos, monitoreo e infraestructura tecnológica","español-industrial","empleos@protecciontotal.com.ar","Directo — Enviar CV para el área tecnológica de la sede Mendoza.","Enviar CV","ENVIADO","SMTP aceptó el mensaje","/home/jfcrypt/Documents/Proyectos/CVSender/CVSender_state/archivo_eml/enviados/2026-07-31/012455_622282_empleos@protecciontotal.com.ar_espanol-industrial_dd4d5acf8079.eml"
"2026-07-31T01:25:11-03:00","Mendoza Service","Administración de redes, servidores, backups, soporte IT y ciberseguridad para empresas","español-industrial","contacto@mendoza-service.com.ar","Probable — Empresa IT local; enviar CV solicitando consideración o derivación al responsable de incorporaciones.","Enviar CV","ENVIADO","SMTP aceptó el mensaje","/home/jfcrypt/Documents/Proyectos/CVSender/CVSender_state/archivo_eml/enviados/2026-07-31/012508_244725_contacto@mendoza-service.com.ar_espanol-industrial_105f49d4836a.eml"
"2026-07-31T01:25:25-03:00","Nod.ar","Infraestructura IT, administración de sistemas, redes, hardware, software e integración con maquinaria","español-industrial","info@nod.ar","Probable — Contacto institucional de una empresa IT mendocina; enviar CV y solicitar derivación.","Enviar CV","ENVIADO","SMTP aceptó el mensaje","/home/jfcrypt/Documents/Proyectos/CVSender/CVSender_state/archivo_eml/enviados/2026-07-31/012521_658897_info@nod.ar_espanol-industrial_6cb52e20a805.eml"
"2026-07-31T01:25:38-03:00","Gobierno de Mendoza — Ministerio de Salud y Deportes — RR.HH.","Infraestructura sanitaria, sistemas, redes, servidores, ciberseguridad y desarrollo de plataformas públicas","español-industrial","dirrrhhsalud@mendoza.gov.ar","Probable — Dirección oficial de RR.HH.; enviar CV solicitando consideración para áreas tecnológicas.","Enviar CV","ENVIADO","SMTP aceptó el mensaje","/home/jfcrypt/Documents/Proyectos/CVSender/CVSender_state/archivo_eml/enviados/2026-07-31/012535_570971_dirrrhhsalud@mendoza.gov.ar_espanol-industrial_a9fd076695b8.eml"
"2026-07-31T01:28:52-03:00","MSU Energy — Capital Humano","Infraestructura tecnológica, redes, Linux, automatización, ciberseguridad OT, sistemas de control y desarrollo interno para generación termoeléctrica","español-industrial","empleos@msuenergy.com","Directo — Enviar CV directamente a Capital Humano.","Enviar CV","ENVIADO","SMTP aceptó el mensaje","/home/jfcrypt/Documents/Proyectos/CVSender/CVSender_state/archivo_eml/enviados/2026-07-31/012850_190300_empleos@msuenergy.com_espanol-industrial_4078fe076b38.eml"
"2026-07-31T01:29:05-03:00","Genneia","Ciberseguridad OT, infraestructura, telecomunicaciones, automatización, SCADA, redes y sistemas para generación eólica y solar","español-industrial","empleos@genneia.com.ar","Probable — Correo utilizado oficialmente para recibir CV; enviar candidatura espontánea orientada a tecnología y operaciones.","Enviar CV","ENVIADO","SMTP aceptó el mensaje","/home/jfcrypt/Documents/Proyectos/CVSender/CVSender_state/archivo_eml/enviados/2026-07-31/012902_803351_empleos@genneia.com.ar_espanol-industrial_f277cb3c9d22.eml"
"2026-07-31T01:29:18-03:00","HEXING–TSI","Medición inteligente, electrónica, firmware, sistemas embebidos, telecomunicaciones, redes, software y energías renovables","español-industrial","rh@hxgroup.com.ar","Directo — Enviar CV directamente a Recursos Humanos.","Enviar CV","ENVIADO","SMTP aceptó el mensaje","/home/jfcrypt/Documents/Proyectos/CVSender/CVSender_state/archivo_eml/enviados/2026-07-31/012915_691630_rh@hxgroup.com.ar_espanol-industrial_ae5d360fe201.eml"
